,Name,API_Name,Instance_Memory,vCPUs,Instance_Storage,Network_Performance,On_Demand,Linux_Reserved_cost,Linux_Spot_Minimum_cost,Windows_On_Demand_cost,Windows_Reserved_cost
329,H1 Quadruple Extra Large,h1.4xlarge,64,16,4000 GB                 (2 * 2000 GB HDD),Up to 10 Gigabit,0.936,$0.6360 hourly,$0.6136 hourly,$1.6720 hourly,$1.3720 hourly
330,M6ID Quadruple Extra Large,m6id.4xlarge,64,16,950 GB                 NVMe SSD,Up to 12.5 Gigabit,0.9492,$0.5980 hourly,$0.4432 hourly,$1.6852 hourly,$1.3340 hourly
331,M5N Quadruple Extra Large,m5n.4xlarge,64,16,EBS only,Up to 25 Gigabit,0.952,$0.6000 hourly,$0.4877 hourly,$1.6880 hourly,$1.3360 hourly
332,G6 Graphics and Machine Learning GPU Double Extra Large,g6.2xlarge,32,8,450 GB                 NVMe SSD,Up to 10 Gigabit,0.9776,$0.6364 hourly,$0.1501 hourly,$1.3456 hourly,$1.0044 hourly
333,M2 High Memory Quadruple Extra Large,m2.4xlarge,68.4,8,1680 GB                 (2 * 840 GB HDD),High,0.98,$0.4440 hourly,$0.4171 hourly,$1.3800 hourly,$0.9910 hourly
334,M5ZN 3xlarge,m5zn.3xlarge,48,12,EBS only,Up to 25 Gigabit,0.991,$0.6243 hourly,$0.5084 hourly,$1.5430 hourly,$1.1763 hourly
335,C7GN Quadruple Extra Large,c7gn.4xlarge,32,16,EBS only,50 Gigabit,0.9984,$0.6290 hourly,$0.4254 hourly,,
336,D3 Double Extra Large,d3.2xlarge,64,8,11880 GB                 (6 * 1980 GB NVMe HDD),Up to 15 Gigabit,0.999,$0.6290 hourly,$0.4119 hourly,$1.3670 hourly,$0.9970 hourly
337,G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,16,4,250 GB                 NVMe SSD,Up to 10 Gigabit,1.006,$0.6338 hourly,$0.5262 hourly,$1.1900 hourly,$0.8178 hourly
338,R5 Quadruple Extra Large,r5.4xlarge,128,16,EBS only,Up to 10 Gigabit,1.008,$0.6350 hourly,$0.5220 hourly,$1.7440 hourly,$1.3710 hourly
339,R6I Quadruple Extra Large,r6i.4xlarge,128,16,EBS only,Up to 12.5 Gigabit,1.008,$0.6668 hourly,$0.4441 hourly,$1.7440 hourly,$1.4028 hourly
340,R5AD Quadruple Extra Large,r5ad.4xlarge,128,16,600 GB                 (2 * 300 GB NVMe SSD),Up to 10 Gigabit,1.048,$0.6600 hourly,$0.6474 hourly,$1.7840 hourly,$1.3960 hourly
341,D3EN Double Extra Large,d3en.2xlarge,32,8,55920 GB                 (4 * 13980 GB NVMe HDD),Up to 25 Gigabit,1.051,$0.6620 hourly,$0.4531 hourly,$1.4190 hourly,$1.0300 hourly
342,R7I Quadruple Extra Large,r7i.4xlarge,128,16,EBS only,Up to 12.5 Gigabit,1.0584,$0.7001 hourly,$0.4662 hourly,$1.7944 hourly,$1.4361 hourly
343,R4 High-Memory Quadruple Extra Large,r4.4xlarge,122,16,EBS only,Up to 10 Gigabit,1.064,$0.6720 hourly,$0.4579 hourly,$1.8000 hourly,$1.4080 hourly
344,M5DN Quadruple Extra Large,m5dn.4xlarge,64,16,600 GB                 (2 * 300 GB NVMe SSD),Up to 25 Gigabit,1.088,$0.6850 hourly,$0.5680 hourly,$1.8240 hourly,$1.4210 hourly
345,C6G Eight Extra Large,c6g.8xlarge,64,32,EBS only,12 Gigabit,1.088,$0.6854 hourly,$0.4572 hourly,,
346,R7GD Quadruple Extra Large,r7gd.4xlarge,128,16,950 GB                 NVMe SSD,Up to 15 Gigabit,1.0886,$0.6842 hourly,$0.5834 hourly,,
347,M6IN Quadruple Extra Large,m6in.4xlarge,64,16,EBS only,Up to 50 Gigabit,1.1138,$0.7017 hourly,$0.6217 hourly,$1.8498 hourly,$1.4377 hourly
348,Z1D 3xlarge,z1d.3xlarge,96,12,450 GB                 NVMe SSD,Up to 10 Gigabit,1.116,$0.7030 hourly,$0.5444 hourly,$1.6680 hourly,$1.2550 hourly
349,G3 Graphics GPU Quadruple Extra Large,g3.4xlarge,122,16,EBS only,Up to 10 Gigabit,1.14,$0.7781 hourly,$0.4743 hourly,$1.8760 hourly,$1.5141 hourly
350,R5D Quadruple Extra Large,r5d.4xlarge,128,16,600 GB                 (2 * 300 GB NVMe SSD),Up to 10 Gigabit,1.152,$0.7260 hourly,$0.6635 hourly,$1.8880 hourly,$1.4620 hourly
351,IS4GEN Double Extra Large,is4gen.2xlarge,48,8,7500 GB                 NVMe SSD,Up to 25 Gigabit,1.1526,$0.7861 hourly,$0.5256 hourly,,
352,C7G Eight Extra Large,c7g.8xlarge,64,32,EBS only,15 Gigabit,1.16,$0.7644 hourly,$0.5643 hourly,,
353,INF1 6xlarge,inf1.6xlarge,48,24,EBS only,25 Gigabit,1.18,$0.7440 hourly,$0.5227 hourly,,
354,R5B Quadruple Extra Large,r5b.4xlarge,128,16,EBS only,Up to 10 Gigabit,1.192,$0.7510 hourly,$0.8252 hourly,$1.9280 hourly,$1.4870 hourly
355,R5N Quadruple Extra Large,r5n.4xlarge,128,16,EBS only,Up to 25 Gigabit,1.192,$0.7510 hourly,$0.7233 hourly,$1.9280 hourly,$1.4870 hourly
356,G4DN Quadruple Extra Large,g4dn.4xlarge,64,16,225 GB                 NVMe SSD,Up to 25 Gigabit,1.204,$0.7590 hourly,$0.5465 hourly,$1.9400 hourly,$1.4950 hourly
357,R6ID Quadruple Extra Large,r6id.4xlarge,128,16,950 GB                 NVMe SSD,Up to 12.5 Gigabit,1.2096,$0.7602 hourly,$0.5880 hourly,$1.9456 hourly,$1.4962 hourly
358,G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,32,8,450 GB                 NVMe SSD,Up to 10 Gigabit,1.212,$0.7636 hourly,$0.6073 hourly,$1.5800 hourly,$1.1316 hourly
359,R7A Quadruple Extra Large,r7a.4xlarge,128,16,EBS only,Up to 12.5 Gigabit,1.2172,$0.8052 hourly,$0.6117 hourly,$1.9532 hourly,$1.5412 hourly
360,C6A Eight Extra Large,c6a.8xlarge,64,32,EBS only,12.5 Gigabit,1.224,$0.8097 hourly,$0.6209 hourly,$2.6960 hourly,$2.2817 hourly
361,C6GD Eight Extra Large,c6gd.8xlarge,64,32,1900 GB                 NVMe SSD,12 Gigabit,1.2288,$0.7741 hourly,$0.5217 hourly,,
362,C5A Eight Extra Large,c5a.8xlarge,64,32,EBS only,10 Gigabit,1.232,$0.7760 hourly,$0.6447 hourly,$2.7040 hourly,$2.2480 hourly
363,M6G Eight Extra Large,m6g.8xlarge,128,32,EBS only,12 Gigabit,1.232,$0.7728 hourly,$0.5511 hourly,,
364,I4G Quadruple Extra Large,i4g.4xlarge,128,16,3750 GB                 NVMe SSD,Up to 25 Gigabit,1.2355,$0.8018 hourly,$0.5274 hourly,,
365,I3 High I/O Quadruple Extra Large,i3.4xlarge,122,16,3800 GB                 (2 * 1900 GB NVMe SSD),Up to 10 Gigabit,1.248,$0.8570 hourly,$0.5664 hourly,$1.9840 hourly,$1.5930 hourly
366,M6IDN Quadruple Extra Large,m6idn.4xlarge,64,16,950 GB                 NVMe SSD,Up to 50 Gigabit,1.273,$0.8020 hourly,$0.5988 hourly,$2.0090 hourly,$1.5380 hourly
367,VT1 6xlarge,vt1.6xlarge,48,24,EBS only,6.25 Gigabit,1.3,$0.8190 hourly,$0.7061 hourly,,
368,M7G Eight Extra Large,m7g.8xlarge,128,32,EBS only,15 Gigabit,1.3056,$0.8637 hourly,$0.6408 hourly,,
369,G6 Graphics and Machine Learning GPU Quadruple Extra Large,g6.4xlarge,64,16,600 GB                 NVMe SSD,Up to 25 Gigabit,1.3232,$0.8614 hourly,$0.2062 hourly,$2.0592 hourly,$1.5974 hourly
370,R3 High-Memory Quadruple Extra Large,r3.4xlarge,122,16,320 GB                 SSD,High,1.33,$0.8360 hourly,$0.5765 hourly,$1.9440 hourly,$1.4900 hourly
371,R5DN Quadruple Extra Large,r5dn.4xlarge,128,16,600 GB                 (2 * 300 GB NVMe SSD),Up to 25 Gigabit,1.336,$0.8420 hourly,$0.7026 hourly,$2.0720 hourly,$1.5780 hourly
372,X2GD Quadruple Extra Large,x2gd.4xlarge,256,16,950 GB                 NVMe SSD,Up to 10 Gigabit,1.336,$0.8233 hourly,$0.6345 hourly,,
373,TRN1 Double Extra Large,trn1.2xlarge,32,8,474 GB                 NVMe SSD,Up to 12.5 Gigabit,1.3438,$0.8268 hourly,$0.5549 hourly,,
374,I3EN 3xlarge,i3en.3xlarge,96,12,7500 GB                 NVMe SSD,Up to 25 Gigabit,1.356,$0.9240 hourly,$0.5646 hourly,$1.9080 hourly,$1.4760 hourly
375,C6I Eight Extra Large,c6i.8xlarge,64,32,EBS only,12.5 Gigabit,1.36,$0.8996 hourly,$0.6886 hourly,$2.8320 hourly,$2.3716 hourly
376,G5G Eight Extra Large,g5g.8xlarge,64,32,EBS only,12 Gigabit,1.372,$0.8644 hourly,$0.5864 hourly,,
377,I4I Quadruple Extra Large,i4i.4xlarge,128,16,3750 GB                 NVMe SSD,Up to 25 Gigabit,1.373,$0.8910 hourly,$0.6803 hourly,$2.1090 hourly,$1.6270 hourly
378,C5AD Eight Extra Large,c5ad.8xlarge,64,32,1200 GB                 (2 * 600 GB NVMe SSD),10 Gigabit,1.376,$0.8670 hourly,$0.6644 hourly,$2.8480 hourly,$2.3390 hourly
379,M5A Eight Extra Large,m5a.8xlarge,128,32,EBS only,Up to 10 Gigabit,1.376,$0.8670 hourly,$0.6584 hourly,$2.8480 hourly,$2.3390 hourly
380,D2 Double Extra Large,d2.2xlarge,61,8,12288 GB                 (6 * 2048 GB HDD),High,1.38,$0.8040 hourly,$0.5048 hourly,$1.6010 hourly,$0.8850 hourly
381,M6A Eight Extra Large,m6a.8xlarge,128,32,EBS only,12.5 Gigabit,1.3824,$0.9145 hourly,$0.6733 hourly,$2.8544 hourly,$2.3865 hourly
382,C6GN Eight Extra Large,c6gn.8xlarge,64,32,EBS only,50 Gigabit,1.3824,$0.8725 hourly,$0.5832 hourly,,
383,R6IN Quadruple Extra Large,r6in.4xlarge,128,16,EBS only,Up to 50 Gigabit,1.3946,$0.8786 hourly,$0.6942 hourly,$2.1306 hourly,$1.6146 hourly
384,C7I Eight Extra Large,c7i.8xlarge,64,32,EBS only,12.5 Gigabit,1.428,$0.9446 hourly,$0.6753 hourly,$2.9000 hourly,$2.4166 hourly
385,M6GD Eight Extra Large,m6gd.8xlarge,128,32,1900 GB                 NVMe SSD,12 Gigabit,1.4464,$0.9112 hourly,$0.6939 hourly,,
386,C7GD Eight Extra Large,c7gd.8xlarge,64,32,1900 GB                 NVMe SSD,15 Gigabit,1.4515,$0.9148 hourly,$0.6717 hourly,,
387,IM4GN Quadruple Extra Large,im4gn.4xlarge,64,16,7500 GB                 NVMe SSD,25 Gigabit,1.4552,$0.9332 hourly,$0.6171 hourly,,
388,R7IZ Quadruple Extra Large,r7iz.4xlarge,128,16,EBS only,Up to 12.5 Gigabit,1.488,$0.9374 hourly,$0.7509 hourly,$2.2240 hourly,$1.6734 hourly
389,C5 High-CPU 9xlarge,c5.9xlarge,72,36,EBS only,12 Gigabit,1.53,$0.9640 hourly,$0.6760 hourly,$3.1860 hourly,$2.6200 hourly
390,M7I-FLEX Eight Extra Large,m7i-flex.8xlarge,128,32,EBS only,Up to 12.5 Gigabit,1.5322,$1.0135 hourly,$0.6679 hourly,$2.9306 hourly,$2.4119 hourly
391,M6I Eight Extra Large,m6i.8xlarge,128,32,EBS only,12.5 Gigabit,1.536,$1.0161 hourly,$0.6573 hourly,$3.0080 hourly,$2.4881 hourly
392,M5 General Purpose Eight Extra Large,m5.8xlarge,128,32,EBS only,10 Gigabit,1.536,$0.9680 hourly,$0.6858 hourly,$3.0080 hourly,$2.4400 hourly
393,Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large,gr6.4xlarge,128,16,600 GB                 NVMe SSD,Up to 25 Gigabit,1.5392,$1.0020 hourly,$0.2336 hourly,$2.2752 hourly,$1.7380 hourly
394,R6IDN Quadruple Extra Large,r6idn.4xlarge,128,16,950 GB                 NVMe SSD,Up to 50 Gigabit,1.5631,$0.9848 hourly,$0.8779 hourly,$2.2991 hourly,$1.7208 hourly
395,C4 High-CPU Eight Extra Large,c4.8xlarge,60,36,EBS only,10 Gigabit,1.591,$1.0080 hourly,$0.7065 hourly,$3.0910 hourly,$2.6640 hourly
396,M7I Eight Extra Large,m7i.8xlarge,128,32,EBS only,12.5 Gigabit,1.6128,$1.0669 hourly,$0.7432 hourly,$3.0848 hourly,$2.5389 hourly
397,C6ID Eight Extra Large,c6id.8xlarge,64,32,1900 GB                 NVMe SSD,12.5 Gigabit,1.6128,$1.0164 hourly,$0.6902 hourly,$3.0848 hourly,$2.4884 hourly
398,R6G Eight Extra Large,r6g.8xlarge,256,32,EBS only,12 Gigabit,1.6128,$1.0161 hourly,$0.6189 hourly,,
399,G5 Graphics and Machine Learning GPU Quadruple Extra Large,g5.4xlarge,64,16,600 GB                 NVMe SSD,Up to 25 Gigabit,1.624,$1.0231 hourly,$0.7416 hourly,$2.3600 hourly,$1.7591 hourly
400,C6G 12xlarge,c6g.12xlarge,96,48,EBS only,20 Gigabit,1.632,$1.0282 hourly,$0.7473 hourly,,
401,C7A Eight Extra Large,c7a.8xlarge,64,32,EBS only,12.5 Gigabit,1.6422,$1.0863 hourly,$0.7277 hourly,$3.1142 hourly,$2.5583 hourly
402,M5AD Eight Extra Large,m5ad.8xlarge,128,32,1200 GB                 (2 * 600 GB NVMe SSD),Up to 10 Gigabit,1.648,$1.0380 hourly,$0.8265 hourly,$3.1200 hourly,$2.5100 hourly
403,F1 Double Extra Large,f1.2xlarge,122,8,470 GB                 NVMe SSD,Up to 10 Gigabit,1.65,$1.1160 hourly,$0.6502 hourly,,
404,X2IEDN Double Extra Large,x2iedn.2xlarge,256,8,237 GB                 NVMe SSD,Up to 25 Gigabit,1.6672,$1.0259 hourly,$0.6398 hourly,$2.0353 hourly,$1.3939 hourly
405,X1E Double Extra Large,x1e.2xlarge,244,8,240 GB                 SSD,Up to 10 Gigabit,1.668,$1.0280 hourly,$0.6445 hourly,$2.0360 hourly,$1.3960 hourly
406,X2IEZN Double Extra Large,x2iezn.2xlarge,256,8,EBS only,Up to 25 Gigabit,1.668,$1.0269 hourly,$0.6923 hourly,$2.0360 hourly,$1.3949 hourly
407,C3 High-CPU Eight Extra Large,c3.8xlarge,60,32,640 GB                 (2 * 320 GB SSD),10 Gigabit,1.68,$1.1680 hourly,$0.7593 hourly,$3.0080 hourly,$2.6310 hourly
408,HPC7G Eight Extra Large,hpc7g.8xlarge,128,32,EBS only,200 Gigabit,1.6832,$1.3255 hourly,,,
409,HPC7G 16xlarge,hpc7g.16xlarge,128,64,EBS only,200 Gigabit,1.6832,$1.3255 hourly,,,
410,HPC7G Quadruple Extra Large,hpc7g.4xlarge,128,16,EBS only,200 Gigabit,1.6832,$1.3255 hourly,,,
411,I2 Double Extra Large,i2.2xlarge,61,8,1600 GB                 (2 * 800 GB SSD),High,1.705,$0.8480 hourly,$0.6452 hourly,$1.9460 hourly,$1.1310 hourly
412,M7GD Eight Extra Large,m7gd.8xlarge,128,32,1900 GB                 NVMe SSD,15 Gigabit,1.7086,$1.0764 hourly,$0.6843 hourly,,
413,R7G Eight Extra Large,r7g.8xlarge,256,32,EBS only,15 Gigabit,1.7136,$1.1335 hourly,$0.7328 hourly,,
414,C5 High-CPU 9xlarge,c5d.9xlarge,72,36,900 GB                 NVMe SSD,12 Gigabit,1.728,$1.0890 hourly,$0.8589 hourly,$3.3840 hourly,$2.7450 hourly
415,G4AD Eight Extra Large,g4ad.8xlarge,128,32,1200 GB                 NVMe SSD,15 Gigabit,1.734,$1.0924 hourly,$0.8153 hourly,$3.2060 hourly,$2.5644 hourly
416,C7G 12xlarge,c7g.12xlarge,96,48,EBS only,22.5 Gigabit,1.74,$1.1466 hourly,$0.8036 hourly,,
417,M5 General Purpose Eight Extra Large,m5d.8xlarge,128,32,1200 GB                 (2 * 600 GB NVMe SSD),10 Gigabit,1.808,$1.1390 hourly,$0.9321 hourly,$3.2800 hourly,$2.6110 hourly
418,R5A Eight Extra Large,r5a.8xlarge,256,32,EBS only,Up to 10 Gigabit,1.808,$1.1390 hourly,$0.7759 hourly,$3.2800 hourly,$2.6110 hourly
419,C6IN Eight Extra Large,c6in.8xlarge,64,32,EBS only,50 Gigabit,1.8144,$1.1431 hourly,$0.8658 hourly,$3.2864 hourly,$2.6151 hourly
420,R6A Eight Extra Large,r6a.8xlarge,256,32,EBS only,12.5 Gigabit,1.8144,$1.2002 hourly,$0.7362 hourly,$3.2864 hourly,$2.6722 hourly
421,C6A 12xlarge,c6a.12xlarge,96,48,EBS only,18.75 Gigabit,1.836,$1.2145 hourly,$0.8638 hourly,$4.0440 hourly,$3.4225 hourly
422,R6GD Eight Extra Large,r6gd.8xlarge,256,32,1900 GB                 NVMe SSD,12 Gigabit,1.8432,$1.1612 hourly,$0.7477 hourly,,
423,C6GD 12xlarge,c6gd.12xlarge,96,48,2850 GB                 (2 * 1425 GB NVMe SSD),20 Gigabit,1.8432,$1.1612 hourly,$0.8033 hourly,,
424,C5A 12xlarge,c5a.12xlarge,96,48,EBS only,12 Gigabit,1.848,$1.1640 hourly,$0.8691 hourly,$4.0560 hourly,$3.3720 hourly
425,M6G 12xlarge,m6g.12xlarge,192,48,EBS only,20 Gigabit,1.848,$1.1592 hourly,$0.7507 hourly,,
426,M7A Eight Extra Large,m7a.8xlarge,128,32,EBS only,12.5 Gigabit,1.8547,$1.2269 hourly,$0.8827 hourly,$3.3267 hourly,$2.6989 hourly
427,H1 Eight Extra Large,h1.8xlarge,128,32,8000 GB                 (4 * 2000 GB HDD),10 Gigabit,1.872,$1.2720 hourly,$0.8987 hourly,$3.3440 hourly,$2.7440 hourly
428,M6ID Eight Extra Large,m6id.8xlarge,128,32,1900 GB                 NVMe SSD,12.5 Gigabit,1.8984,$1.1960 hourly,$0.8764 hourly,$3.3704 hourly,$2.6680 hourly
429,M5N Eight Extra Large,m5n.8xlarge,128,32,EBS only,25 Gigabit,1.904,$1.2000 hourly,$0.9496 hourly,$3.3760 hourly,$2.6720 hourly
430,C5N 9xlarge,c5n.9xlarge,96,36,EBS only,50 Gigabit,1.944,$1.2250 hourly,$0.8652 hourly,$3.6000 hourly,$2.8810 hourly
431,M7G 12xlarge,m7g.12xlarge,192,48,EBS only,22.5 Gigabit,1.9584,$1.2955 hourly,$0.8246 hourly,,
432,INF2 Eight Extra Large,inf2.8xlarge,128,32,EBS only,Up to 25 Gigabit,1.9679,$1.2397 hourly,$0.8324 hourly,,
433,M5ZN 6xlarge,m5zn.6xlarge,96,24,EBS only,50 Gigabit,1.982,$1.2487 hourly,$1.0000 hourly,$3.0860 hourly,$2.3527 hourly
434,C7GN Eight Extra Large,c7gn.8xlarge,64,32,EBS only,100 Gigabit,1.9968,$1.2580 hourly,$0.8580 hourly,,
435,D3 Quadruple Extra Large,d3.4xlarge,128,16,23760 GB                 (12 * 1980 GB NVMe HDD),Up to 15 Gigabit,1.998,$1.2590 hourly,$0.8461 hourly,$2.7340 hourly,$1.9950 hourly
436,M4 General Purpose Deca Extra Large,m4.10xlarge,160,40,EBS only,10 Gigabit,2,$1.2390 hourly,$0.9538 hourly,$3.8400 hourly,$3.0790 hourly
437,G6 Graphics and Machine Learning GPU Eight Extra Large,g6.8xlarge,128,32,900 GB                 (2 * 450 GB NVMe SSD),25 Gigabit,2.0144,$1.3114 hourly,$0.3040 hourly,$3.4864 hourly,$2.7834 hourly
438,R5 Eight Extra Large,r5.8xlarge,256,32,EBS only,10 Gigabit,2.016,$1.2700 hourly,$0.8705 hourly,$3.4880 hourly,$2.7420 hourly
439,R6I Eight Extra Large,r6i.8xlarge,256,32,EBS only,12.5 Gigabit,2.016,$1.3336 hourly,$0.9257 hourly,$3.4880 hourly,$2.8056 hourly
440,C6I 12xlarge,c6i.12xlarge,96,48,EBS only,18.75 Gigabit,2.04,$1.3495 hourly,$0.9308 hourly,$4.2480 hourly,$3.5575 hourly
441,C5 High-CPU 12xlarge,c5.12xlarge,96,48,EBS only,12 Gigabit,2.04,$1.2850 hourly,$0.9117 hourly,$4.2480 hourly,$3.4930 hourly
442,M5A 12xlarge,m5a.12xlarge,192,48,EBS only,10 Gigabit,2.064,$1.3000 hourly,$0.9476 hourly,$4.2720 hourly,$3.5080 hourly
443,C5AD 12xlarge,c5ad.12xlarge,96,48,1800 GB                 (2 * 900 GB NVMe SSD),12 Gigabit,2.064,$1.3000 hourly,$0.8917 hourly,$4.2720 hourly,$3.5080 hourly
444,C6GN 12xlarge,c6gn.12xlarge,96,48,EBS only,75 Gigabit,2.0736,$1.3088 hourly,$0.9394 hourly,,
445,M6A 12xlarge,m6a.12xlarge,192,48,EBS only,18.75 Gigabit,2.0736,$1.3717 hourly,$1.0445 hourly,$4.2816 hourly,$3.5797 hourly
446,R5AD Eight Extra Large,r5ad.8xlarge,256,32,1200 GB                 (2 * 600 GB NVMe SSD),Up to 10 Gigabit,2.096,$1.3200 hourly,$1.1906 hourly,$3.5680 hourly,$2.7920 hourly
447,D3EN Quadruple Extra Large,d3en.4xlarge,64,16,111840 GB                 (8 * 13980 GB NVMe HDD),25 Gigabit,2.103,$1.3250 hourly,$0.8872 hourly,$2.8390 hourly,$2.0610 hourly
448,R7I Eight Extra Large,r7i.8xlarge,256,32,EBS only,12.5 Gigabit,2.1168,$1.4003 hourly,$0.8060 hourly,$3.5888 hourly,$2.8723 hourly
449,R4 High-Memory Eight Extra Large,r4.8xlarge,244,32,EBS only,10 Gigabit,2.128,$1.3440 hourly,$0.9069 hourly,$3.6000 hourly,$2.8160 hourly
450,C7I 12xlarge,c7i.12xlarge,96,48,EBS only,18.75 Gigabit,2.142,$1.4169 hourly,$0.8975 hourly,$4.3500 hourly,$3.6249 hourly
451,M6GD 12xlarge,m6gd.12xlarge,192,48,2850 GB                 (2 * 1425 GB NVMe SSD),20 Gigabit,2.1696,$1.3668 hourly,$0.8903 hourly,,
452,M5DN Eight Extra Large,m5dn.8xlarge,128,32,1200 GB                 (2 * 600 GB NVMe SSD),25 Gigabit,2.176,$1.3710 hourly,$1.1335 hourly,$3.6480 hourly,$2.8430 hourly
453,G4DN Eight Extra Large,g4dn.8xlarge,128,32,900 GB                 NVMe SSD,50 Gigabit,2.176,$1.3710 hourly,$0.9078 hourly,$3.6480 hourly,$2.8430 hourly
454,C6G 16xlarge,c6g.16xlarge,128,64,EBS only,25 Gigabit,2.176,$1.3709 hourly,$0.9543 hourly,,
455,C6G Metal,c6g.metal,128,64,EBS only,25 Gigabit,2.176,$1.3709 hourly,$1.0404 hourly,,
456,C7GD 12xlarge,c7gd.12xlarge,96,48,2850 GB                 (2 * 1425 GB NVMe SSD),22.5 Gigabit,2.1773,$1.3721 hourly,$0.9512 hourly,,
457,R7GD Eight Extra Large,r7gd.8xlarge,256,32,1900 GB                 NVMe SSD,15 Gigabit,2.1773,$1.3684 hourly,$1.1018 hourly,,
458,M6IN Eight Extra Large,m6in.8xlarge,128,32,EBS only,50 Gigabit,2.2277,$1.4034 hourly,$1.2205 hourly,$3.6997 hourly,$2.8754 hourly
459,Z1D 6xlarge,z1d.6xlarge,192,24,900 GB                 NVMe SSD,12 Gigabit,2.232,$1.4060 hourly,$0.9322 hourly,$3.3360 hourly,$2.5100 hourly
460,G3 Graphics GPU Eight Extra Large,g3.8xlarge,244,32,EBS only,10 Gigabit,2.28,$1.5561 hourly,$1.0054 hourly,$3.7520 hourly,$3.0281 hourly
461,M5 General Purpose 12xlarge,m5.12xlarge,192,48,EBS only,12 Gigabit,2.304,$1.4520 hourly,$0.9768 hourly,$4.5120 hourly,$3.6600 hourly
462,M6I 12xlarge,m6i.12xlarge,192,48,EBS only,18.75 Gigabit,2.304,$1.5241 hourly,$0.9720 hourly,$4.5120 hourly,$3.7321 hourly
463,R5D Eight Extra Large,r5d.8xlarge,256,32,1200 GB                 (2 * 600 GB NVMe SSD),10 Gigabit,2.304,$1.4520 hourly,$1.0130 hourly,$3.7760 hourly,$2.9240 hourly
464,C5 High-CPU 12xlarge,c5d.12xlarge,96,48,1800 GB                 (2 * 900 GB NVMe SSD),12 Gigabit,2.304,$1.4520 hourly,$1.0814 hourly,$4.5120 hourly,$3.6600 hourly
465,IS4GEN Quadruple Extra Large,is4gen.4xlarge,96,16,15000 GB                 (2 * 7500 GB NVMe SSD),25 Gigabit,2.3052,$1.5722 hourly,$1.2491 hourly,,
466,C7G 16xlarge,c7g.16xlarge,128,64,EBS only,30 Gigabit,2.32,$1.5288 hourly,$1.0288 hourly,,
467,C7G Metal,c7g.metal,128,64,EBS only,30 Gigabit,2.32,$1.5288 hourly,$1.0604 hourly,,
468,R5N Eight Extra Large,r5n.8xlarge,256,32,EBS only,25 Gigabit,2.384,$1.5020 hourly,$1.1082 hourly,$3.8560 hourly,$2.9740 hourly
469,R5B Eight Extra Large,r5b.8xlarge,256,32,EBS only,10 Gigabit,2.384,$1.5019 hourly,$1.3651 hourly,$3.8560 hourly,$2.9739 hourly
470,R6ID Eight Extra Large,r6id.8xlarge,256,32,1900 GB                 NVMe SSD,12.5 Gigabit,2.4192,$1.5204 hourly,$1.1491 hourly,$3.8912 hourly,$2.9924 hourly
471,C6ID 12xlarge,c6id.12xlarge,96,48,2850 GB                 (2 * 1425 GB NVMe SSD),18.75 Gigabit,2.4192,$1.5246 hourly,$1.1086 hourly,$4.6272 hourly,$3.7326 hourly
472,M7I 12xlarge,m7i.12xlarge,192,48,EBS only,18.75 Gigabit,2.4192,$1.6003 hourly,$1.0108 hourly,$4.6272 hourly,$3.8083 hourly
473,R6G 12xlarge,r6g.12xlarge,384,48,EBS only,20 Gigabit,2.4192,$1.5241 hourly,$0.9761 hourly,,
474,R7A Eight Extra Large,r7a.8xlarge,256,32,EBS only,12.5 Gigabit,2.4344,$1.6104 hourly,$1.0092 hourly,$3.9064 hourly,$3.0824 hourly
475,Gr6 Graphics and Machine Learning GPU High RAM ratio Eight Extra Large,gr6.8xlarge,256,32,900 GB                 (2 * 450 GB NVMe SSD),25 Gigabit,2.4464,$1.5926 hourly,$0.3844 hourly,$3.9184 hourly,$3.0646 hourly
476,G5 Graphics and Machine Learning GPU Eight Extra Large,g5.8xlarge,128,32,900 GB                 NVMe SSD,25 Gigabit,2.448,$1.5422 hourly,$1.2653 hourly,$3.9200 hourly,$3.0142 hourly
477,C6A 16xlarge,c6a.16xlarge,128,64,EBS only,25 Gigabit,2.448,$1.6194 hourly,$1.1903 hourly,$5.3920 hourly,$4.5633 hourly
478,C6GD 16xlarge,c6gd.16xlarge,128,64,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,2.4576,$1.5483 hourly,$1.0074 hourly,,
479,C6GD Metal,c6gd.metal,128,64,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,2.4576,$1.5483 hourly,$1.0769 hourly,,
480,C7A 12xlarge,c7a.12xlarge,96,48,EBS only,18.75 Gigabit,2.4634,$1.6295 hourly,$0.7162 hourly,$4.6714 hourly,$3.8375 hourly
481,C5A 16xlarge,c5a.16xlarge,128,64,EBS only,20 Gigabit,2.464,$1.5520 hourly,$1.2432 hourly,$5.4080 hourly,$4.4960 hourly
482,M6G Metal,m6g.metal,256,64,EBS only,25 Gigabit,2.464,$1.5456 hourly,$1.1226 hourly,,
483,M6G 16xlarge,m6g.16xlarge,256,64,EBS only,25 Gigabit,2.464,$1.5456 hourly,$1.0070 hourly,,
